game_id,week,team,opponent,player_id,pbp_player_name,gsis_id,player_name,position,q1_rush_att,q1_rush_yds,q1_ypc,site,team_q1_rush_att,team_q1_rush_yds,rb_q1_carry_share,rb_q1_yard_share,hit_15,hit_20,hit_25
2025_04_NYJ_MIA,4,NYJ,MIA,00-0039798,I.Davis,00-0039798,Isaiah Davis,RB,1,6.0,6.0,A,11,76.0,0.09090909090909091,0.07894736842105263,0,0,0
2025_04_PHI_TB,4,PHI,TB,00-0036265,A.Dillon,00-0036265,AJ Dillon,RB,1,11.0,11.0,A,2,40.0,0.5,0.275,0,0,0
2025_04_PHI_TB,4,PHI,TB,00-0034844,S.Barkley,00-0034844,Saquon Barkley,RB,0,0.0,0.0,A,2,40.0,0.0,0.0,0,0,0
2025_04_PHI_TB,4,TB,PHI,00-0039361,B.Irving,00-0039361,Bucky Irving,RB,7,29.0,4.142857142857143,H,8,34.0,0.875,0.8529411764705882,1,1,1
2025_04_PHI_TB,4,TB,PHI,00-0037256,R.White,00-0037256,Rachaad White,RB,1,5.0,5.0,H,8,34.0,0.125,0.14705882352941177,0,0,0
2025_04_SEA_ARI,4,ARI,SEA,00-0039921,T.Benson,00-0039921,Trey Benson,RB,3,15.0,5.0,H,5,22.0,0.6,0.6818181818181818,1,0,0
2025_04_SEA_ARI,4,ARI,SEA,00-0036924,M.Carter,00-0036924,Michael Carter,RB,0,0.0,0.0,H,5,22.0,0.0,0.0,0,0,0
2025_04_SEA_ARI,4,ARI,SEA,00-0038705,E.Demercado,00-0038705,Emari Demercado,RB,0,0.0,0.0,H,5,22.0,0.0,0.0,0,0,0
2025_04_SEA_ARI,4,SEA,ARI,00-0038134,K.Walker,00-0038134,Kenneth Walker III,RB,5,35.0,7.0,A,7,37.0,0.7142857142857143,0.9459459459459459,1,1,1
2025_04_SEA_ARI,4,SEA,ARI,00-0039165,Z.Charbonnet,00-0039165,Zach Charbonnet,RB,1,0.0,0.0,A,7,37.0,0.14285714285714285,0.0,0,0,0
2025_04_TEN_HOU,4,HOU,TEN,00-0040583,W.Marks,00-0040583,Woody Marks,RB,5,29.0,5.8,H,10,44.0,0.5,0.6590909090909091,1,1,1
2025_04_TEN_HOU,4,HOU,TEN,00-0034791,N.Chubb,00-0034791,Nick Chubb,RB,3,9.0,3.0,H,10,44.0,0.3,0.20454545454545456,0,0,0
2025_04_TEN_HOU,4,TEN,HOU,00-0035261,T.Pollard,00-0035261,Tony Pollard,RB,3,12.0,4.0,A,3,12.0,1.0,1.0,0,0,0
2025_04_TEN_HOU,4,TEN,HOU,00-0037594,J.Chestnut,00-0037594,Julius Chestnut,RB,0,0.0,0.0,A,3,12.0,0.0,0.0,0,0,0
2025_04_WAS_ATL,4,ATL,WAS,00-0038542,B.Robinson,00-0038542,Bijan Robinson,RB,9,39.0,4.333333333333333,H,13,50.0,0.6923076923076923,0.78,1,1,1
2025_04_WAS_ATL,4,ATL,WAS,00-0037263,T.Allgeier,00-0037263,Tyler Allgeier,RB,4,11.0,2.75,H,13,50.0,0.3076923076923077,0.22,0,0,0
2025_04_WAS_ATL,4,WAS,ATL,00-0038611,C.Rodriguez,00-0038611,Chris Rodriguez Jr.,RB,2,51.0,25.5,A,3,48.0,0.6666666666666666,1.0625,1,1,1
2025_04_WAS_ATL,4,WAS,ATL,00-0033955,J.McNichols,00-0033955,Jeremy McNichols,RB,0,0.0,0.0,A,3,48.0,0.0,0.0,0,0,0
