team_depth,depth_player_name,player_id,team_rb_order,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,rb_q1_carry_share_mean,rb_q1_yard_share_mean,same_team_2025_2026,depth_default_room_share,role_confidence,depth_snapshot_utc
MIA,Jaylen Wright,00-0039874,2,9.0,4.111111111111111,4.0,2.0,7.0,9.0,0.0,0.0,0.0,1.4444444444444444,0.1814975148308481,0.0750604789807298,True,0.25,0.72,2026-09-06T11:29:30+00:00
MIA,Ollie Gordon II,00-0040198,3,16.0,2.5625,0.0,0.0,3.75,11.0,0.0,0.0,0.0,1.0625,0.1361471861471861,0.0778792811293381,True,0.07,0.97,2026-09-06T11:29:30+00:00
MIN,Aaron Jones Sr.,00-0033293,1,12.0,14.166666666666666,8.5,4.5,25.25,35.0,0.4166666666666667,0.3333333333333333,0.25,4.0,0.6278439153439154,0.56770785439462,True,0.68,0.9,2026-09-06T11:29:30+00:00
MIN,Jordan Mason,00-0037525,2,16.0,8.5,6.0,1.75,13.0,26.0,0.25,0.1875,0.0625,2.25,0.4111111111111111,0.4471765648442205,True,0.25,0.97,2026-09-06T11:29:30+00:00
MIN,Demond Claiborne,00-0041104,3,,,,,,,,,,,,,False,0.07,0.55,2026-09-06T11:29:30+00:00
NE,Rhamondre Stevenson,00-0036875,1,14.0,21.714285714285715,18.0,6.25,27.75,67.0,0.5,0.5,0.4285714285714285,3.2857142857142856,0.42388147566719,0.4165663395057764,True,0.68,0.9,2026-09-06T11:29:30+00:00
NE,TreVeyon Henderson,00-0040734,2,17.0,11.411764705882351,11.0,5.0,17.0,30.0,0.3529411764705882,0.1176470588235294,0.1176470588235294,2.647058823529412,0.3550204697263521,0.3563012236748944,True,0.25,0.97,2026-09-06T11:29:30+00:00
NE,Corey Kiner,00-0040556,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.07,0.72,2026-09-06T11:29:30+00:00
NO,Travis Etienne Jr.,00-0036973,1,17.0,13.058823529411764,12.0,6.0,16.0,51.0,0.3529411764705882,0.1764705882352941,0.1176470588235294,3.647058823529412,0.6545518207282913,0.5661493637884562,False,0.68,0.72,2026-09-06T11:29:30+00:00
NO,Alvin Kamara,00-0033906,2,11.0,15.909090909090908,14.0,11.5,20.0,28.0,0.4545454545454545,0.2727272727272727,0.1818181818181818,3.909090909090909,0.6414141414141414,0.6887753069510055,True,0.25,0.9,2026-09-06T11:29:30+00:00
NO,Kendre Miller,00-0038551,3,7.0,6.714285714285714,6.0,2.0,8.5,20.0,0.1428571428571428,0.1428571428571428,0.0,1.1428571428571428,0.1781746031746031,0.1834550977881549,True,0.07,0.72,2026-09-06T11:29:30+00:00
NYG,Cam Skattebo,00-0040715,1,8.0,10.375,9.5,6.5,12.75,27.0,0.25,0.125,0.125,2.625,0.4384920634920635,0.3441647693530764,True,0.68,0.72,2026-09-06T11:29:30+00:00
NYG,Tyrone Tracy Jr.,00-0039384,2,15.0,10.266666666666667,10.0,3.0,13.5,40.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,3.1333333333333333,0.4889417989417989,0.4664915557715917,True,0.25,0.97,2026-09-06T11:29:30+00:00
NYG,Najee Harris,00-0036893,3,3.0,6.333333333333333,6.0,3.0,9.5,13.0,0.0,0.0,0.0,1.3333333333333333,0.2095238095238095,0.2294593444018731,False,0.07,0.72,2026-09-06T11:29:30+00:00
NYJ,Breece Hall,00-0038120,1,16.0,15.0625,15.0,6.25,17.5,42.0,0.5625,0.1875,0.125,3.8125,0.6179247835497836,0.8770812933467718,True,0.68,0.97,2026-09-06T11:29:30+00:00
NYJ,Braelon Allen,00-0039794,2,4.0,7.75,2.5,0.75,9.5,26.0,0.25,0.25,0.25,2.0,0.1948051948051948,0.1228864211219292,True,0.25,0.72,2026-09-06T11:29:30+00:00
NYJ,Isaiah Davis,00-0039798,3,13.0,4.307692307692308,3.0,0.0,6.0,13.0,0.0,0.0,0.0,1.1538461538461535,0.1563991563991563,0.154192595653677,True,0.07,0.9,2026-09-06T11:29:30+00:00
PHI,Saquon Barkley,00-0034844,1,16.0,23.0,19.5,15.25,28.25,82.0,0.75,0.5,0.375,4.3125,0.6001488095238096,0.5860659112317322,True,0.68,0.97,2026-09-06T11:29:30+00:00
PHI,Tank Bigsby,00-0038555,2,10.0,6.1,2.5,0.0,9.5,22.0,0.2,0.1,0.0,0.7,0.1086111111111111,0.1633105590062111,True,0.25,0.9,2026-09-06T11:29:30+00:00
PHI,Will Shipley,00-0039746,3,6.0,5.5,2.0,0.0,4.0,25.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.0861111111111111,0.1194841269841269,True,0.07,0.72,2026-09-06T11:29:30+00:00
PIT,Jaylen Warren,00-0037228,1,16.0,15.875,13.0,6.5,22.5,48.0,0.5,0.3125,0.25,3.375,0.5727678571428572,0.61994768951723,True,0.68,0.97,2026-09-06T11:29:30+00:00
PIT,Rico Dowdle,00-0036139,2,17.0,15.058823529411764,11.0,4.0,31.0,34.0,0.4117647058823529,0.3529411764705882,0.2941176470588235,3.7058823529411766,0.5634633340515693,0.497580028861484,False,0.25,0.72,2026-09-06T11:29:30+00:00
PIT,Eli Heidenreich,00-0041490,3,,,,,,,,,,,,,False,0.07,0.55,2026-09-06T11:29:30+00:00
SEA,Jadarian Price,00-0041512,1,,,,,,,,,,,,,False,0.68,0.55,2026-09-06T11:29:30+00:00
SEA,George Holani,00-0039299,2,4.0,2.25,0.0,0.0,2.25,9.0,0.0,0.0,0.0,0.25,0.03125,0.0625,True,0.25,0.72,2026-09-06T11:29:30+00:00
SEA,Emanuel Wilson,00-0038797,3,16.0,3.5,2.0,0.0,5.25,17.0,0.0625,0.0,0.0,1.3125,0.2216547341547341,0.1794455086318294,False,0.07,0.72,2026-09-06T11:29:30+00:00
SF,Christian McCaffrey,00-0033280,1,17.0,17.941176470588236,17.0,4.0,26.0,61.0,0.5294117647058824,0.3529411764705882,0.2941176470588235,4.235294117647059,0.6902809608691962,0.7039616818444969,True,0.68,0.97,2026-09-06T11:29:30+00:00
SF,Kaelon Black,00-0041052,2,,,,,,,,,,,,,False,0.25,0.55,2026-09-06T11:29:30+00:00
SF,Jordan James,00-0040177,3,,,,,,,,,,,,,False,0.07,0.55,2026-09-06T11:29:30+00:00
TB,Bucky Irving,00-0039361,1,10.0,18.6,19.0,12.25,25.25,29.0,0.7,0.4,0.3,4.9,0.7446645021645022,0.687349430253842,True,0.68,0.9,2026-09-06T11:29:30+00:00
TB,Kenny Gainwell,00-0036919,2,16.0,5.625,3.5,0.75,10.25,19.0,0.125,0.0,0.0,1.8125,0.3265625,0.2822012050974797,False,0.25,0.72,2026-09-06T11:29:30+00:00
TB,Sean Tucker,00-0038951,3,14.0,5.428571428571429,0.5,0.0,10.25,23.0,0.1428571428571428,0.0714285714285714,0.0,1.2857142857142858,0.1683673469387755,0.1556995404544796,True,0.07,0.9,2026-09-06T11:29:30+00:00
TEN,Tony Pollard,00-0035261,1,17.0,21.94117647058824,13.0,10.0,28.0,87.0,0.4705882352941176,0.4705882352941176,0.3529411764705882,4.176470588235294,0.7565826330532213,0.8457818372479464,True,0.68,0.97,2026-09-06T11:29:30+00:00
TEN,Tyjae Spears,00-0039032,2,13.0,2.3846153846153846,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.8461538461538461,0.1324481074481074,0.0862634316600653,True,0.25,0.9,2026-09-06T11:29:30+00:00
TEN,Nicholas Singleton,00-0040886,3,,,,,,,,,,,,,False,0.07,0.55,2026-09-06T11:29:30+00:00
WAS,Jacory Croskey-Merritt,00-0040242,1,17.0,8.588235294117647,7.0,0.0,14.0,30.0,0.2352941176470588,0.1176470588235294,0.0588235294117647,2.294117647058824,0.354014939309057,0.3690215990546708,True,0.68,0.97,2026-09-06T11:29:30+00:00
WAS,Rachaad White,00-0037256,2,17.0,9.235294117647058,7.0,3.0,14.0,31.0,0.2352941176470588,0.1764705882352941,0.0588235294117647,2.117647058823529,0.3423245055597996,0.3509841678881993,False,0.25,0.72,2026-09-06T11:29:30+00:00
WAS,Kaytron Allen,00-0041096,3,,,,,,,,,,,,,False,0.07,0.55,2026-09-06T11:29:30+00:00
