player_id,player_name,team,window,rush_yds_games,rush_yds_mean,rush_yds_median,rush_yds_std,rush_yds_min,rush_yds_p25,rush_yds_p75,rush_yds_max,rush_yds_hit_15,rush_yds_hit_20,rush_yds_hit_25,rush_att_mean,rush_att_median,carry_share_mean,yard_share_mean,rush_yds_hit_35,rush_yds_hit_45,rush_yds_hit_55,rush_yds_hit_40,rush_yds_hit_50,rush_yds_hit_60,rush_yds_hit_70,rush_yds_hit_80,rush_yds_hit_100
00-0039407,Dylan Laube,LV,Full Game,3,3.0,3.0,0.816496580927726,2.0,2.5,3.5,4.0,,,,2.3333333333333335,2.0,0.1476023976023976,0.07615396602773881,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039603,British Brooks,HOU,Full Game,3,26.0,15.0,26.870057685088806,0.0,7.5,39.0,63.0,,,,5.666666666666667,2.0,0.1794282106782107,0.18665653767092683,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
00-0039738,Blake Corum,LA,Full Game,17,43.88235294117647,44.0,30.478309264789253,2.0,21.0,58.0,128.0,,,,8.529411764705882,8.0,0.3017603123678761,0.3184490714206364,,,,0.5294117647058824,0.4117647058823529,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.058823529411764705
00-0039746,Will Shipley,PHI,Full Game,6,8.166666666666666,2.0,9.805044053388485,0.0,2.0,13.25,26.0,,,,2.3333333333333335,2.5,0.08466121082220153,0.062391122648750484,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039757,Terrell Jennings,NE,Full Game,5,14.6,15.0,12.109500402576483,0.0,5.0,18.0,35.0,,,,4.6,4.0,0.1419542584058713,0.10718104113570728,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039794,Braelon Allen,NYJ,Full Game,4,19.0,18.5,9.137833441248533,9.0,10.5,27.0,30.0,,,,4.5,5.0,0.1632027392896958,0.14861513697808115,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039796,Rasheen Ali,BAL,Full Game,4,6.0,3.5,6.59545297913646,0.0,1.5,8.0,17.0,,,,1.75,1.0,0.06958449436897712,0.04210909383422921,,,,0.0,0.0,0.0,0.0,0.0,0.0
00-0039798,Isaiah Davis,NYJ,Full Game,13,18.153846153846153,10.0,19.17067533759331,2.0,8.0,18.0,65.0,,,,3.3076923076923075,3.0,0.11767757725008493,0.13878105875560204,,,,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0
00-0039874,Jaylen Wright,MIA,Full Game,9,32.0,23.0,30.681155997343602,2.0,16.0,35.0,107.0,,,,7.777777777777778,5.0,0.24238471105701637,0.21201716208830146,,,,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
00-0039875,Ray Davis,BUF,Full Game,10,27.5,9.0,44.88262470043391,-2.0,2.25,22.0,151.0,,,,5.8,2.5,0.1488421842814501,0.12779703681703863,,,,0.2,0.2,0.2,0.1,0.1,0.1
