team,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_yds_hit_30,q1_rush_att_mean,rb_carry_capture,rb_yard_capture,opp_q1_rush_yds_allowed_mean,opp_q1_rush_yds_allowed_median,opp_q1_rush_yds_allowed_p75,opp_q1_rush_yds_allowed_hit_30,opp_q1_rush_att_allowed_mean
DEN,26.705882352941178,18.0,19.62820511371733,15.0,31.0,75.0,0.4705882352941176,0.4117647058823529,0.2941176470588235,5.823529411764706,0.8282828282828283,0.7973568281938326,21.705882352941178,23.0,26.0,0.1764705882352941,6.117647058823529
TEN,26.294117647058822,23.0,20.72158495494451,12.0,35.0,92.0,0.5882352941176471,0.4705882352941176,0.4117647058823529,5.764705882352941,0.8775510204081632,0.9261744966442952,27.058823529411764,27.0,35.0,0.3529411764705882,5.882352941176471
NYJ,26.176470588235293,17.0,20.338995562328765,11.0,33.0,76.0,0.4705882352941176,0.4705882352941176,0.3529411764705882,6.529411764705882,0.7927927927927928,0.7573033707865169,39.05882352941177,34.0,48.0,0.5294117647058824,8.058823529411764
LAC,25.94117647058824,26.0,16.621993184917578,14.0,29.0,69.0,0.6470588235294118,0.5294117647058824,0.2352941176470588,6.352941176470588,0.8333333333333334,0.6938775510204082,33.8235294117647,24.0,48.0,0.4117647058823529,6.705882352941177
KC,25.23529411764705,21.0,13.989615525830352,17.0,30.0,66.0,0.5294117647058824,0.4117647058823529,0.2941176470588235,5.764705882352941,0.7653061224489796,0.6596736596736597,24.176470588235293,28.0,33.0,0.4117647058823529,6.529411764705882
CIN,24.58823529411765,23.0,15.173734363460827,15.0,29.0,63.0,0.5882352941176471,0.4117647058823529,0.2352941176470588,6.235294117647059,0.9056603773584906,0.9234449760765552,30.94117647058824,26.0,44.0,0.3529411764705882,6.529411764705882
PIT,24.294117647058822,17.0,16.394994594414023,13.0,43.0,55.0,0.4705882352941176,0.3529411764705882,0.2941176470588235,5.823529411764706,0.898989898989899,0.8813559322033898,28.0,21.0,32.0,0.2941176470588235,6.647058823529412
DET,23.41176470588235,21.0,8.015124112131513,18.0,28.0,44.0,0.5882352941176471,0.4117647058823529,0.1176470588235294,6.411764705882353,0.9357798165137616,0.9371859296482412,25.23529411764705,19.0,33.0,0.2941176470588235,6.117647058823529
JAX,23.176470588235293,18.0,18.34709559998577,7.0,31.0,71.0,0.4705882352941176,0.4117647058823529,0.2941176470588235,5.823529411764706,0.8282828282828283,0.7766497461928934,23.352941176470587,25.0,30.0,0.2941176470588235,5.352941176470588
CLE,23.11764705882353,18.0,15.612522699804252,14.0,34.0,54.0,0.4705882352941176,0.4705882352941176,0.3529411764705882,6.294117647058823,0.8878504672897196,0.7608142493638677,35.411764705882355,29.0,53.0,0.4705882352941176,6.647058823529412
ARI,22.529411764705884,21.0,11.852612752711696,14.0,31.0,46.0,0.5882352941176471,0.4117647058823529,0.2941176470588235,5.647058823529412,0.7916666666666666,0.741514360313316,28.47058823529412,29.0,36.0,0.4705882352941176,6.235294117647059
MIN,22.176470588235293,21.0,12.368057977366046,16.0,29.0,46.0,0.5882352941176471,0.3529411764705882,0.2352941176470588,6.0588235294117645,0.8932038834951457,0.8594164456233422,28.058823529411764,24.0,40.0,0.3529411764705882,6.823529411764706
LV,20.705882352941178,18.0,15.414907627443952,9.0,28.0,58.0,0.4705882352941176,0.3529411764705882,0.2352941176470588,5.235294117647059,0.8202247191011236,0.7215909090909091,27.176470588235293,29.0,43.0,0.4705882352941176,6.470588235294118
NO,20.11764705882353,18.0,16.291038146030857,10.0,27.0,71.0,0.4705882352941176,0.2941176470588235,0.2352941176470588,5.529411764705882,0.723404255319149,0.7631578947368421,30.058823529411764,28.0,41.0,0.4705882352941176,7.294117647058823
HOU,19.94117647058824,19.0,14.288912148257571,6.0,29.0,54.0,0.4117647058823529,0.2941176470588235,0.1764705882352941,6.352941176470588,0.8703703703703703,0.8849557522123894,22.529411764705884,21.0,28.0,0.2352941176470588,5.705882352941177
