team,window,rush_yds_games,rush_yds_mean,rush_yds_median,rush_yds_std,rush_yds_min,rush_yds_p25,rush_yds_p75,rush_yds_max,rush_yds_hit_20,rush_yds_hit_25,rush_yds_hit_30,rush_yds_hit_35,rush_yds_hit_40,rush_att_mean,rush_att_median,ypc_mean,rush_yds_hit_45,rush_yds_hit_55,rush_yds_hit_65,rush_yds_hit_75,rush_yds_hit_50,rush_yds_hit_60,rush_yds_hit_70,rush_yds_hit_80,rush_yds_hit_100,rush_yds_hit_120
NYJ,Q1,17,26.176470588235293,17.0,20.338995562328765,2.0,11.0,33.0,76.0,0.47058823529411764,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.23529411764705882,6.529411764705882,6.0,4.009009009009009,,,,,,,,,,
PHI,Q1,17,37.1764705882353,32.0,21.423558484329533,18.0,23.0,40.0,112.0,0.9411764705882353,0.7058823529411765,0.5882352941176471,0.47058823529411764,0.35294117647058826,6.647058823529412,7.0,5.592920353982301,,,,,,,,,,
PIT,Q1,17,24.294117647058822,17.0,16.394994594414023,3.0,13.0,43.0,55.0,0.47058823529411764,0.35294117647058826,0.29411764705882354,0.29411764705882354,0.29411764705882354,5.823529411764706,6.0,4.171717171717172,,,,,,,,,,
SEA,Q1,17,28.294117647058822,19.0,20.769787746748467,5.0,14.0,37.0,88.0,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.35294117647058826,0.17647058823529413,6.0,6.0,4.715686274509804,,,,,,,,,,
SF,Q1,17,26.823529411764707,27.0,23.083570154390426,1.0,11.0,29.0,94.0,0.5294117647058824,0.5294117647058824,0.23529411764705882,0.23529411764705882,0.23529411764705882,6.117647058823529,6.0,4.384615384615385,,,,,,,,,,
TB,Q1,17,29.176470588235293,31.0,12.22935376156915,7.0,21.0,34.0,51.0,0.8235294117647058,0.6470588235294118,0.5294117647058824,0.23529411764705882,0.23529411764705882,6.764705882352941,7.0,4.3130434782608695,,,,,,,,,,
TEN,Q1,17,26.294117647058822,23.0,20.72158495494451,1.0,12.0,35.0,92.0,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.11764705882352941,5.764705882352941,5.0,4.561224489795919,,,,,,,,,,
WAS,Q1,17,31.058823529411764,30.0,17.857180425071704,3.0,20.0,39.0,80.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.4117647058823529,0.23529411764705882,6.647058823529412,7.0,4.672566371681416,,,,,,,,,,
ARI,1H,17,42.411764705882355,39.0,17.519934271732104,18.0,31.0,51.0,95.0,,,,0.6470588235294118,,11.235294117647058,12.0,3.774869109947644,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.058823529411764705,,,,,,
ATL,1H,17,71.17647058823529,66.0,40.72610854175755,10.0,38.0,94.0,168.0,,,,0.7647058823529411,,13.588235294117647,13.0,5.238095238095238,0.7058823529411765,0.6470588235294118,0.5294117647058824,0.4117647058823529,,,,,,
