game_id,week,team,window,opponent,player_id,pbp_player_name,gsis_id,player_name,position,rush_att,rush_yds,site,team_rush_att,team_rush_yds,carry_share,yard_share
2025_05_NYG_NO,5,NYG,Q1,NO,00-0035250,D.Singletary,00-0035250,Devin Singletary,RB,0,0.0,A,5,41.0,0.0,0.0
2025_05_SF_LA,5,SF,Q1,LA,00-0033280,C.McCaffrey,00-0033280,Christian McCaffrey,RB,7,19.0,A,11,27.0,0.6363636363636364,0.7037037037037037
2025_05_SF_LA,5,LA,Q1,SF,00-0037840,K.Williams,00-0037840,Kyren Williams,RB,3,13.0,H,3,13.0,1.0,1.0
2025_05_SF_LA,5,SF,Q1,LA,00-0037746,B.Robinson,00-0037746,Brian Robinson,RB,3,6.0,A,11,27.0,0.2727272727272727,0.2222222222222222
2025_05_SF_LA,5,LA,Q1,SF,00-0039738,B.Corum,00-0039738,Blake Corum,RB,0,0.0,H,3,13.0,0.0,0.0
2025_05_SF_LA,5,SF,Q1,LA,00-0029892,K.Juszczyk,00-0029892,Kyle Juszczyk,RB,0,0.0,A,11,27.0,0.0,0.0
2025_05_TB_SEA,5,TB,Q1,SEA,00-0037256,R.White,00-0037256,Rachaad White,RB,5,14.0,A,9,31.0,0.5555555555555556,0.45161290322580644
2025_05_TB_SEA,5,SEA,Q1,TB,00-0038134,K.Walker,00-0038134,Kenneth Walker III,RB,3,18.0,H,3,18.0,1.0,1.0
2025_05_TB_SEA,5,SEA,Q1,TB,00-0039165,Z.Charbonnet,00-0039165,Zach Charbonnet,RB,0,0.0,H,3,18.0,0.0,0.0
2025_05_TB_SEA,5,TB,Q1,SEA,00-0038951,S.Tucker,00-0038951,Sean Tucker,RB,0,0.0,A,9,31.0,0.0,0.0
2025_05_TEN_ARI,5,ARI,Q1,TEN,00-0036924,M.Carter,00-0036924,Michael Carter,RB,6,20.0,H,8,35.0,0.75,0.5714285714285714
2025_05_TEN_ARI,5,TEN,Q1,ARI,00-0035261,T.Pollard,00-0035261,Tony Pollard,RB,4,26.0,A,8,38.0,0.5,0.6842105263157895
2025_05_TEN_ARI,5,TEN,Q1,ARI,00-0037594,J.Chestnut,00-0037594,Julius Chestnut,RB,1,3.0,A,8,38.0,0.125,0.07894736842105263
2025_05_TEN_ARI,5,TEN,Q1,ARI,00-0039032,T.Spears,00-0039032,Tyjae Spears,RB,2,7.0,A,8,38.0,0.25,0.18421052631578946
2025_05_TEN_ARI,5,ARI,Q1,TEN,00-0037157,Z.Knight,00-0037157,Bam Knight,RB,0,0.0,H,8,35.0,0.0,0.0
2025_05_TEN_ARI,5,ARI,Q1,TEN,00-0038705,E.Demercado,00-0038705,Emari Demercado,RB,0,0.0,H,8,35.0,0.0,0.0
2025_05_WAS_LAC,5,LAC,Q1,WAS,00-0040666,O.Hampton,00-0040666,Omarion Hampton,RB,5,14.0,H,8,69.0,0.625,0.2028985507246377
2025_05_WAS_LAC,5,LAC,Q1,WAS,00-0037617,H.Haskins,00-0037617,Hassan Haskins,RB,1,5.0,H,8,69.0,0.125,0.07246376811594203
2025_05_WAS_LAC,5,WAS,Q1,LAC,00-0040242,J.Croskey-Merritt,00-0040242,Jacory Croskey-Merritt,RB,3,21.0,A,5,23.0,0.6,0.9130434782608695
2025_05_WAS_LAC,5,LAC,Q1,WAS,00-0039391,K.Vidal,00-0039391,Kimani Vidal,RB,0,0.0,H,8,69.0,0.0,0.0
2025_05_WAS_LAC,5,WAS,Q1,LAC,00-0033955,J.McNichols,00-0033955,Jeremy McNichols,RB,0,0.0,A,5,23.0,0.0,0.0
2025_05_WAS_LAC,5,WAS,Q1,LAC,00-0038611,C.Rodriguez,00-0038611,Chris Rodriguez Jr.,RB,0,0.0,A,5,23.0,0.0,0.0
2025_06_ARI_IND,6,IND,Q1,ARI,00-0036223,J.Taylor,00-0036223,Jonathan Taylor,RB,3,9.0,H,3,9.0,1.0,1.0
2025_06_ARI_IND,6,ARI,Q1,IND,00-0036924,M.Carter,00-0036924,Michael Carter,RB,4,13.0,A,7,19.0,0.5714285714285714,0.6842105263157895
2025_06_ARI_IND,6,ARI,Q1,IND,00-0038705,E.Demercado,00-0038705,Emari Demercado,RB,1,1.0,A,7,19.0,0.14285714285714285,0.05263157894736842
2025_06_ARI_IND,6,ARI,Q1,IND,00-0037157,Z.Knight,00-0037157,Bam Knight,RB,1,1.0,A,7,19.0,0.14285714285714285,0.05263157894736842
2025_06_ARI_IND,6,IND,Q1,ARI,00-0032104,A.Abdullah,00-0032104,Ameer Abdullah,RB,0,0.0,H,3,9.0,0.0,0.0
2025_06_BUF_ATL,6,ATL,Q1,BUF,00-0038542,B.Robinson,00-0038542,Bijan Robinson,RB,6,40.0,H,8,60.0,0.75,0.6666666666666666
2025_06_BUF_ATL,6,ATL,Q1,BUF,00-0037263,T.Allgeier,00-0037263,Tyler Allgeier,RB,2,20.0,H,8,60.0,0.25,0.3333333333333333
2025_06_BUF_ATL,6,BUF,Q1,ATL,00-0037248,J.Cook,00-0037248,James Cook,RB,3,6.0,A,6,19.0,0.5,0.3157894736842105
2025_06_BUF_ATL,6,BUF,Q1,ATL,00-0035537,Ty.Johnson,00-0035537,Ty Johnson,RB,0,0.0,A,6,19.0,0.0,0.0
2025_06_CHI_WAS,6,CHI,Q1,WAS,00-0036275,D.Swift,00-0036275,D'Andre Swift,RB,5,26.0,A,7,36.0,0.7142857142857143,0.7222222222222222
2025_06_CHI_WAS,6,CHI,Q1,WAS,00-0040236,K.Monangai,00-0040236,Kyle Monangai,RB,2,10.0,A,7,36.0,0.2857142857142857,0.2777777777777778
2025_06_CHI_WAS,6,WAS,Q1,CHI,00-0040242,J.Croskey-Merritt,00-0040242,Jacory Croskey-Merritt,RB,4,11.0,H,5,13.0,0.8,0.8461538461538461
2025_06_CHI_WAS,6,WAS,Q1,CHI,00-0033955,J.McNichols,00-0033955,Jeremy McNichols,RB,0,0.0,H,5,13.0,0.0,0.0
2025_06_CHI_WAS,6,CHI,Q1,WAS,00-0039021,R.Johnson,00-0039021,Roschon Johnson,RB,0,0.0,A,7,36.0,0.0,0.0
2025_06_CIN_GB,6,GB,Q1,CIN,00-0035700,J.Jacobs,00-0035700,Josh Jacobs,RB,5,14.0,H,13,53.0,0.38461538461538464,0.2641509433962264
2025_06_CIN_GB,6,GB,Q1,CIN,00-0038797,E.Wilson,00-0038797,Emanuel Wilson,RB,1,3.0,H,13,53.0,0.07692307692307693,0.05660377358490566
2025_06_CIN_GB,6,CIN,Q1,GB,00-0033526,S.Perine,00-0033526,Samaje Perine,RB,1,0.0,A,2,-3.0,0.5,-0.0
2025_06_CIN_GB,6,GB,Q1,CIN,00-0038685,C.Brooks,00-0038685,Chris Brooks,RB,1,1.0,H,13,53.0,0.07692307692307693,0.018867924528301886
2025_06_CIN_GB,6,CIN,Q1,GB,00-0038597,C.Brown,00-0038597,Chase Brown,RB,0,0.0,A,2,-3.0,0.0,-0.0
2025_06_CLE_PIT,6,PIT,Q1,CLE,00-0037228,J.Warren,00-0037228,Jaylen Warren,RB,3,5.0,H,6,14.0,0.5,0.35714285714285715
2025_06_CLE_PIT,6,PIT,Q1,CLE,00-0036919,K.Gainwell,00-0036919,Kenneth Gainwell,RB,2,0.0,H,6,14.0,0.3333333333333333,0.0
2025_06_CLE_PIT,6,CLE,Q1,PIT,00-0040784,Q.Judkins,00-0040784,Quinshon Judkins,RB,4,6.0,A,5,8.0,0.8,0.75
2025_06_CLE_PIT,6,CLE,Q1,PIT,00-0040162,D.Sampson,00-0040162,Dylan Sampson,RB,1,2.0,A,5,8.0,0.2,0.25
2025_06_CLE_PIT,6,PIT,Q1,CLE,00-0040142,K.Johnson,00-0040142,Kaleb Johnson,RB,1,9.0,H,6,14.0,0.16666666666666666,0.6428571428571429
2025_06_CLE_PIT,6,CLE,Q1,PIT,00-0037267,J.Ford,00-0037267,Jerome Ford,RB,0,0.0,A,5,8.0,0.0,0.0
2025_06_DAL_CAR,6,DAL,Q1,CAR,00-0036997,J.Williams,00-0036997,Javonte Williams,RB,6,22.0,A,6,22.0,1.0,1.0
2025_06_DAL_CAR,6,CAR,Q1,DAL,00-0036139,R.Dowdle,00-0036139,Rico Dowdle,RB,5,34.0,H,7,42.0,0.7142857142857143,0.8095238095238095
2025_06_DAL_CAR,6,CAR,Q1,DAL,00-0036425,D.Dallas,00-0036425,DeeJay Dallas,RB,1,0.0,H,7,42.0,0.14285714285714285,0.0
2025_06_DAL_CAR,6,DAL,Q1,CAR,00-0040586,J.Blue,00-0040586,Jaydon Blue,RB,0,0.0,A,6,22.0,0.0,0.0
2025_06_DAL_CAR,6,CAR,Q1,DAL,00-0040644,T.Etienne,00-0040644,Trevor Etienne,RB,0,0.0,H,7,42.0,0.0,0.0
