team_depth,depth_player_name,player_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source,team_rb_order,player_name,team_hist,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,rb_q1_carry_share_mean,rb_q1_yard_share_mean,hist_data_available,same_team_2025_2026,depth_default_room_share,role_confidence
DET,Jacob Saylors,00-0038896,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Jacob Saylors,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.07,0.72
GB,MarShawn Lloyd,00-0039811,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,,,,,,,,,,,,,,,,,,,False,False,0.68,0.55
GB,Chris Brooks,00-0038685,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Chris Brooks,GB,7.0,4.0,1.0,4.566962103755937,0.0,0.0,7.5,12.0,0.0,0.0,0.0,0.7142857142857143,1.0,2.0,0.1028257456828885,0.2346450158107839,True,True,0.25,0.72
GB,Kaleb Johnson,00-0040142,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Kaleb Johnson,PIT,10.0,2.0,0.5,2.8284271247461903,0.0,0.0,2.75,9.0,0.0,0.0,0.0,0.6,0.5,2.0,0.1077380952380952,0.1281506568144499,True,False,0.07,0.72
HOU,David Montgomery,00-0035685,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,David Montgomery,DET,17.0,5.647058823529412,3.0,6.192416391138897,-1.0,1.0,9.0,22.0,0.1176470588235294,0.0588235294117647,0.0,1.8235294117647056,2.0,4.0,0.3025464731347084,0.2659341136504258,True,False,0.68,0.72
HOU,Woody Marks,00-0040583,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Woody Marks,HOU,16.0,10.0,7.5,10.874281585465774,-3.0,1.75,15.5,38.0,0.3125,0.125,0.125,2.9375,3.0,6.0,0.459375,0.434519459946549,True,True,0.25,0.97
HOU,British Brooks,00-0039603,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,British Brooks,HOU,3.0,3.0,0.0,4.242640687119285,0.0,0.0,4.5,9.0,0.0,0.0,0.0,1.0,1.0,2.0,0.1216931216931216,0.1034482758620689,True,True,0.07,0.72
IND,Jonathan Taylor,00-0036223,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Jonathan Taylor,IND,17.0,22.0,22.0,16.542280943797607,2.0,8.0,31.0,62.0,0.5882352941176471,0.5294117647058824,0.4117647058823529,5.0588235294117645,5.0,10.0,0.7962248535777947,0.7527501698384985,True,True,0.68,0.97
IND,Seth McGowan,00-0041125,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,,,,,,,,,,,,,,,,,,,False,False,0.25,0.55
IND,DJ Giddens,00-0040179,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,DJ Giddens,IND,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.07,0.72
