team,player_name,gsis_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source
SEA,Emanuel Wilson,00-0038797,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
SEA,Zach Charbonnet,00-0039165,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
SF,Christian McCaffrey,00-0033280,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
SF,Kaelon Black,00-0041052,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
SF,Jordan James,00-0040177,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
SF,Isaac Guerendo,00-0039363,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
TB,Bucky Irving,00-0039361,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
TB,Kenny Gainwell,00-0036919,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
TB,Sean Tucker,00-0038951,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
TEN,Tony Pollard,00-0035261,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
TEN,Tyjae Spears,00-0039032,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
TEN,Nicholas Singleton,00-0040886,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
TEN,Julius Chestnut,00-0037594,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
WAS,Jacory Croskey-Merritt,00-0040242,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
WAS,Rachaad White,00-0037256,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
WAS,Kaytron Allen,00-0041096,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
WAS,Jeremy McNichols,00-0033955,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
