defense,window,rush_yds_allowed_games,rush_yds_allowed_mean,rush_yds_allowed_median,rush_yds_allowed_std,rush_yds_allowed_min,rush_yds_allowed_p25,rush_yds_allowed_p75,rush_yds_allowed_max,rush_yds_allowed_hit_20,rush_yds_allowed_hit_25,rush_yds_allowed_hit_30,rush_yds_allowed_hit_35,rush_yds_allowed_hit_40,rush_att_allowed_mean,ypc_allowed,rush_yds_allowed_hit_45,rush_yds_allowed_hit_55,rush_yds_allowed_hit_65,rush_yds_allowed_hit_75,rush_yds_allowed_hit_50,rush_yds_allowed_hit_60,rush_yds_allowed_hit_70,rush_yds_allowed_hit_80,rush_yds_allowed_hit_100,rush_yds_allowed_hit_120
CHI,1H,17,63.705882352941174,46.0,44.85239151061461,14.0,27.0,85.0,173.0,,,,0.7058823529411765,,12.764705882352942,4.990783410138249,0.5294117647058824,0.4117647058823529,0.35294117647058826,0.35294117647058826,,,,,,
CIN,1H,17,63.470588235294116,68.0,29.756101988270107,14.0,44.0,82.0,139.0,,,,0.8235294117647058,,13.529411764705882,4.691304347826087,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.35294117647058826,,,,,,
CLE,1H,17,63.94117647058823,63.0,32.00637912195427,14.0,46.0,73.0,133.0,,,,0.8235294117647058,,13.470588235294118,4.746724890829694,0.7647058823529411,0.5882352941176471,0.47058823529411764,0.23529411764705882,,,,,,
DAL,1H,17,61.0,60.0,29.102253803968317,21.0,36.0,88.0,123.0,,,,0.7647058823529411,,12.352941176470589,4.938095238095238,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.35294117647058826,,,,,,
DEN,1H,17,45.411764705882355,42.0,13.771491540089414,24.0,36.0,52.0,76.0,,,,0.8235294117647058,,12.647058823529411,3.5906976744186045,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.058823529411764705,,,,,,
DET,1H,17,44.8235294117647,39.0,19.470143943749143,11.0,31.0,66.0,80.0,,,,0.6470588235294118,,11.294117647058824,3.96875,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.11764705882352941,,,,,,
GB,1H,17,61.529411764705884,52.0,34.17621747400449,25.0,43.0,77.0,175.0,,,,0.7647058823529411,,14.588235294117647,4.217741935483871,0.7058823529411765,0.47058823529411764,0.35294117647058826,0.29411764705882354,,,,,,
HOU,1H,17,38.529411764705884,37.0,19.611274209611356,11.0,21.0,52.0,77.0,,,,0.5294117647058824,,10.470588235294118,3.6797752808988764,0.4117647058823529,0.17647058823529413,0.11764705882352941,0.058823529411764705,,,,,,
IND,1H,17,49.529411764705884,52.0,22.909329327638872,3.0,42.0,63.0,85.0,,,,0.7647058823529411,,11.647058823529411,4.252525252525253,0.6470588235294118,0.4117647058823529,0.23529411764705882,0.17647058823529413,,,,,,
JAX,1H,17,46.35294117647059,46.0,12.536728048937265,25.0,39.0,52.0,74.0,,,,0.8235294117647058,,11.176470588235293,4.147368421052631,0.5294117647058824,0.11764705882352941,0.11764705882352941,0.0,,,,,,
KC,1H,17,55.0,63.0,22.06141161288056,20.0,36.0,74.0,92.0,,,,0.7647058823529411,,12.647058823529411,4.348837209302325,0.5882352941176471,0.5294117647058824,0.47058823529411764,0.23529411764705882,,,,,,
LA,1H,17,60.470588235294116,54.0,31.18468260325482,26.0,34.0,79.0,143.0,,,,0.6470588235294118,,13.529411764705882,4.469565217391304,0.6470588235294118,0.47058823529411764,0.35294117647058826,0.29411764705882354,,,,,,
LAC,1H,17,57.23529411764706,61.0,26.460913264584196,10.0,36.0,82.0,95.0,,,,0.7647058823529411,,12.411764705882353,4.611374407582939,0.6470588235294118,0.5882352941176471,0.4117647058823529,0.29411764705882354,,,,,,
LV,1H,17,55.23529411764706,54.0,37.4221221326837,2.0,36.0,69.0,174.0,,,,0.7647058823529411,,13.352941176470589,4.136563876651983,0.6470588235294118,0.4117647058823529,0.29411764705882354,0.17647058823529413,,,,,,
MIA,1H,17,61.23529411764706,60.0,37.54296270198859,10.0,29.0,90.0,143.0,,,,0.5882352941176471,,13.588235294117647,4.5064935064935066,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.4117647058823529,,,,,,
MIN,1H,17,53.11764705882353,54.0,21.3676015140602,15.0,36.0,69.0,97.0,,,,0.8235294117647058,,13.941176470588236,3.810126582278481,0.5882352941176471,0.47058823529411764,0.29411764705882354,0.17647058823529413,,,,,,
NE,1H,17,53.23529411764706,52.0,14.790813570928592,26.0,48.0,61.0,86.0,,,,0.8823529411764706,,12.235294117647058,4.350961538461538,0.7647058823529411,0.4117647058823529,0.23529411764705882,0.058823529411764705,,,,,,
NO,1H,17,59.470588235294116,59.0,25.43531044239559,8.0,48.0,76.0,112.0,,,,0.8235294117647058,,14.705882352941176,4.044,0.7647058823529411,0.5294117647058824,0.35294117647058826,0.29411764705882354,,,,,,
NYG,1H,17,66.82352941176471,62.0,34.86990155710331,6.0,47.0,87.0,147.0,,,,0.8235294117647058,,13.117647058823529,5.0941704035874436,0.7647058823529411,0.5882352941176471,0.47058823529411764,0.4117647058823529,,,,,,
NYJ,1H,17,71.6470588235294,57.0,41.23953154362591,22.0,42.0,98.0,153.0,,,,0.8235294117647058,,15.0,4.776470588235294,0.6470588235294118,0.5882352941176471,0.4117647058823529,0.4117647058823529,,,,,,
PHI,1H,17,59.0,52.0,31.754573547387952,15.0,42.0,67.0,142.0,,,,0.8235294117647058,,13.352941176470589,4.418502202643172,0.7058823529411765,0.4117647058823529,0.29411764705882354,0.17647058823529413,,,,,,
PIT,1H,17,58.94117647058823,52.0,33.51465103369024,18.0,31.0,73.0,125.0,,,,0.7058823529411765,,13.411764705882353,4.394736842105263,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.23529411764705882,,,,,,
SEA,1H,17,48.64705882352941,43.0,22.73360088055871,10.0,35.0,72.0,90.0,,,,0.7647058823529411,,13.411764705882353,3.6271929824561404,0.47058823529411764,0.29411764705882354,0.29411764705882354,0.17647058823529413,,,,,,
SF,1H,17,56.529411764705884,50.0,24.8527845452774,26.0,39.0,64.0,115.0,,,,0.8235294117647058,,12.588235294117647,4.490654205607477,0.5882352941176471,0.47058823529411764,0.23529411764705882,0.17647058823529413,,,,,,
TB,1H,17,44.35294117647059,35.0,28.01247868250356,5.0,24.0,55.0,118.0,,,,0.5294117647058824,,10.117647058823529,4.383720930232558,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.11764705882352941,,,,,,
TEN,1H,17,47.05882352941177,45.0,23.912759548077098,17.0,31.0,54.0,118.0,,,,0.5882352941176471,,11.411764705882353,4.123711340206185,0.5294117647058824,0.23529411764705882,0.17647058823529413,0.11764705882352941,,,,,,
WAS,1H,17,69.58823529411765,70.0,25.20751247388578,30.0,49.0,79.0,127.0,,,,0.8823529411764706,,14.058823529411764,4.949790794979079,0.8235294117647058,0.7058823529411765,0.6470588235294118,0.4117647058823529,,,,,,
ARI,Full Game,17,126.94117647058823,123.0,46.92104831615024,49.0,95.0,150.0,249.0,,,,,,28.764705882352942,4.413087934560327,,,,,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.6470588235294118,0.5882352941176471
ATL,Full Game,17,126.23529411764706,110.0,55.92171987989335,67.0,101.0,134.0,323.0,,,,,,27.41176470588235,4.605150214592275,,,,,1.0,1.0,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.4117647058823529
BAL,Full Game,17,106.6470588235294,100.0,40.24182953458575,34.0,79.0,118.0,224.0,,,,,,25.529411764705884,4.17741935483871,,,,,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.7058823529411765,0.5882352941176471,0.23529411764705882
BUF,Full Game,17,136.1764705882353,114.0,63.46859834420914,58.0,79.0,197.0,246.0,,,,,,26.470588235294116,5.144444444444445,,,,,1.0,0.9411764705882353,0.8235294117647058,0.7058823529411765,0.6470588235294118,0.47058823529411764
CAR,Full Game,17,123.29411764705883,125.0,55.04732157386722,19.0,82.0,152.0,245.0,,,,,,28.176470588235293,4.375782881002087,,,,,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7058823529411765,0.5882352941176471
CHI,Full Game,17,134.52941176470588,122.0,55.80756605573965,44.0,115.0,177.0,240.0,,,,,,26.88235294117647,5.00437636761488,,,,,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.6470588235294118
CIN,Full Game,17,147.05882352941177,139.0,60.008303923643666,42.0,118.0,183.0,283.0,,,,,,28.176470588235293,5.219206680584551,,,,,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.6470588235294118
