team,player_name,gsis_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source,team_rb_order
NO,Alvin Kamara,00-0033906,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
NO,Kendre Miller,00-0038551,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
NYG,Cam Skattebo,00-0040715,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
NYG,Tyrone Tracy Jr.,00-0039384,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
NYG,Najee Harris,00-0036893,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
NYJ,Breece Hall,00-0038120,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
NYJ,Braelon Allen,00-0039794,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
NYJ,Isaiah Davis,00-0039798,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
PHI,Saquon Barkley,00-0034844,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
PHI,Tank Bigsby,00-0038555,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
PHI,Will Shipley,00-0039746,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
PIT,Jaylen Warren,00-0037228,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
PIT,Rico Dowdle,00-0036139,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
PIT,Eli Heidenreich,00-0041490,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
SEA,Jadarian Price,00-0041512,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
SEA,George Holani,00-0039299,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
SEA,Emanuel Wilson,00-0038797,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
SF,Christian McCaffrey,00-0033280,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
SF,Kaelon Black,00-0041052,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
SF,Jordan James,00-0040177,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
TB,Bucky Irving,00-0039361,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
TB,Kenny Gainwell,00-0036919,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
TB,Sean Tucker,00-0038951,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
TEN,Tony Pollard,00-0035261,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
TEN,Tyjae Spears,00-0039032,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
TEN,Nicholas Singleton,00-0040886,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
WAS,Jacory Croskey-Merritt,00-0040242,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1
WAS,Rachaad White,00-0037256,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2
WAS,Kaytron Allen,00-0041096,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3
