team,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_yds_hit_30,q1_rush_yds_hit_35,q1_rush_yds_hit_40,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,team_q1_att,team_q1_yds,rb_q1_att,rb_q1_yds,rb_carry_capture,rb_yard_capture,opp_q1_rush_yds_allowed_games,opp_q1_rush_yds_allowed_mean,opp_q1_rush_yds_allowed_median,opp_q1_rush_yds_allowed_std,opp_q1_rush_yds_allowed_min,opp_q1_rush_yds_allowed_p25,opp_q1_rush_yds_allowed_p75,opp_q1_rush_yds_allowed_max,opp_q1_rush_yds_allowed_hit_20,opp_q1_rush_yds_allowed_hit_25,opp_q1_rush_yds_allowed_hit_30,opp_q1_rush_yds_allowed_hit_35,opp_q1_rush_yds_allowed_hit_40,opp_q1_rush_att_allowed_mean,opp_q1_rush_att_allowed_median,opp_q1_rush_att_allowed_max
NYG,17,27.11764705882353,22.0,15.818389718526891,-3.0,17.0,39.0,60.0,0.6470588235294118,0.4705882352941176,0.4117647058823529,0.2941176470588235,0.2352941176470588,6.235294117647059,6.0,10,106,461.0,92,336.0,0.8679245283018868,0.7288503253796096,17,37.588235294117645,31.0,27.97910738081166,5.0,17.0,50.0,112.0,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.2941176470588235,6.823529411764706,7.0,12
SF,17,26.823529411764707,27.0,23.083570154390426,1.0,11.0,29.0,94.0,0.5294117647058824,0.5294117647058824,0.2352941176470588,0.2352941176470588,0.2352941176470588,6.117647058823529,6.0,12,104,456.0,89,385.0,0.8557692307692307,0.8442982456140351,17,33.35294117647059,30.0,17.374562801001687,13.0,27.0,34.0,88.0,0.8235294117647058,0.7647058823529411,0.5294117647058824,0.2352941176470588,0.1764705882352941,6.941176470588236,6.0,12
DEN,17,26.705882352941178,18.0,19.62820511371733,2.0,15.0,31.0,75.0,0.4705882352941176,0.4117647058823529,0.2941176470588235,0.2352941176470588,0.1764705882352941,5.823529411764706,6.0,13,99,454.0,82,362.0,0.8282828282828283,0.7973568281938326,17,21.705882352941178,23.0,9.047357143402532,10.0,16.0,26.0,43.0,0.5294117647058824,0.3529411764705882,0.1764705882352941,0.1176470588235294,0.0588235294117647,6.117647058823529,6.0,10
TEN,17,26.294117647058822,23.0,20.72158495494451,1.0,12.0,35.0,92.0,0.5882352941176471,0.4705882352941176,0.4117647058823529,0.2941176470588235,0.1176470588235294,5.764705882352941,5.0,10,98,447.0,86,414.0,0.8775510204081632,0.9261744966442953,17,27.058823529411764,27.0,21.02231472181348,-2.0,13.0,35.0,67.0,0.5294117647058824,0.5294117647058824,0.3529411764705882,0.2941176470588235,0.2352941176470588,5.882352941176471,7.0,10
NYJ,17,26.176470588235293,17.0,20.338995562328765,2.0,11.0,33.0,76.0,0.4705882352941176,0.4705882352941176,0.3529411764705882,0.2352941176470588,0.2352941176470588,6.529411764705882,6.0,11,111,445.0,88,337.0,0.7927927927927928,0.7573033707865169,17,39.05882352941177,34.0,23.5483747115824,13.0,20.0,48.0,96.0,0.8235294117647058,0.5882352941176471,0.5294117647058824,0.4705882352941176,0.4117647058823529,8.058823529411764,7.0,13
LAC,17,25.94117647058824,26.0,16.621993184917578,3.0,14.0,29.0,69.0,0.6470588235294118,0.5294117647058824,0.2352941176470588,0.1764705882352941,0.1176470588235294,6.352941176470588,6.0,11,108,441.0,90,306.0,0.8333333333333334,0.6938775510204082,17,33.8235294117647,24.0,23.857999753733232,1.0,18.0,48.0,76.0,0.7058823529411765,0.4705882352941176,0.4117647058823529,0.4117647058823529,0.4117647058823529,6.705882352941177,6.0,13
KC,17,25.235294117647054,21.0,13.989615525830352,7.0,17.0,30.0,66.0,0.5294117647058824,0.4117647058823529,0.2941176470588235,0.2352941176470588,0.1176470588235294,5.764705882352941,5.0,9,98,429.0,75,283.0,0.7653061224489796,0.6596736596736597,17,24.176470588235293,28.0,11.753524097891797,3.0,15.0,33.0,42.0,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.2352941176470588,0.0588235294117647,6.529411764705882,7.0,11
CIN,17,24.58823529411765,23.0,15.173734363460827,-3.0,15.0,29.0,63.0,0.5882352941176471,0.4117647058823529,0.2352941176470588,0.1764705882352941,0.1764705882352941,6.235294117647059,7.0,11,106,418.0,96,386.0,0.9056603773584906,0.9234449760765551,17,30.94117647058824,26.0,21.055865714067853,6.0,14.0,44.0,81.0,0.6470588235294118,0.5294117647058824,0.3529411764705882,0.3529411764705882,0.3529411764705882,6.529411764705882,6.0,13
PIT,17,24.294117647058822,17.0,16.394994594414023,3.0,13.0,43.0,55.0,0.4705882352941176,0.3529411764705882,0.2941176470588235,0.2941176470588235,0.2941176470588235,5.823529411764706,6.0,10,99,413.0,89,364.0,0.898989898989899,0.8813559322033898,17,28.0,21.0,21.254757252962285,8.0,13.0,32.0,87.0,0.5294117647058824,0.4705882352941176,0.2941176470588235,0.2352941176470588,0.2352941176470588,6.647058823529412,6.0,13
DET,17,23.41176470588235,21.0,8.015124112131513,13.0,18.0,28.0,44.0,0.5882352941176471,0.4117647058823529,0.1176470588235294,0.1176470588235294,0.0588235294117647,6.411764705882353,5.0,11,109,398.0,102,373.0,0.9357798165137615,0.9371859296482412,17,25.235294117647054,19.0,15.501534693528615,7.0,15.0,33.0,65.0,0.4705882352941176,0.2941176470588235,0.2941176470588235,0.2352941176470588,0.2352941176470588,6.117647058823529,6.0,11
